"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"317","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_10",0.584139585434228,37
"318","Denver","downtown","Southwest","large","Denver, CO","Season_7",0.583333333333333,37
"319","Austin","downtown","Southwest","large","Austin, TX","Season_6",0.58125,37
"320","Nashville","downtown","Southeast","large","Nashville, TN","Season_5",0.579166666666667,25
"321","Fort Worth","downtown","Southwest","large","Fort Worth, TX","Season_2",0.579166666666667,17
"322","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_9",0.578883764945375,34
"323","Halifax","downtown","Canada","medium","Halifax, NS","Season_4",0.578333333333333,21
"324","San Diego","downtown","Pacific","large","San Diego, CA","Season_4",0.578333333333333,22
"325","Austin","downtown","Southwest","large","Austin, TX","Season_11",0.577485490439967,40
"326","El Paso","downtown","Southwest","medium","El Paso, TX","Season_2",0.574,18
"327","Denver","downtown","Southwest","large","Denver, CO","Season_3",0.572307692307692,26
"328","Baltimore","downtown","Northeast","medium","Baltimore, MD","Season_1",0.572083333333333,18
"329","Tucson","downtown","Southwest","medium","Tucson, AZ","Season_1",0.571818181818182,19
"330","Cincinnati","downtown","Midwest","medium","Cincinnati, OH","Season_11",0.571574296147296,41
"331","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_7",0.570909090909091,38
"332","Houston","downtown","Southwest","large","Houston, TX","Season_9",0.570436722853327,35
"333","Memphis","downtown","Southeast","medium","Memphis, TN","Season_2",0.57,19
"334","Denver","downtown","Southwest","large","Denver, CO","Season_8",0.567637292200112,35
"335","Houston","downtown","Southwest","large","Houston, TX","Season_6",0.567,38
"336","Los Angeles","downtown","Pacific","large","Los Angeles, CA","Season_5",0.567,26
"337","Cincinnati","downtown","Midwest","medium","Cincinnati, OH","Season_8",0.566035773637019,36
"338","St Louis","downtown","Midwest","medium","St. Louis, MO","Season_11",0.56583850795966,42
"339","Milwaukee","downtown","Midwest","medium","Milwaukee, WI","Season_1",0.565454545454545,20
"340","London","downtown","Canada","medium","London, ON","Season_9",0.565000484034343,36
"341","Oakland","downtown","Pacific","medium","Oakland, CA","Season_6",0.565,39
"342","Memphis","downtown","Southeast","medium","Memphis, TN","Season_5",0.562,27
"343","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_5",0.561428571428571,28
"344","Halifax","downtown","Canada","medium","Halifax, NS","Season_8",0.560887971935459,37
"345","Denver","downtown","Southwest","large","Denver, CO","Season_9",0.559876128395905,37
"346","London","downtown","Canada","medium","London, ON","Season_3",0.557727272727273,27
"347","Boston","downtown","Northeast","medium","Boston, MA","Season_7",0.556363636363636,39
"348","Atlanta","downtown","Southeast","medium","Atlanta, GA","Season_7",0.556153846153846,40
"349","Phoenix","downtown","Southwest","large","Phoenix, AZ","Season_7",0.555833333333333,41
"350","Washington DC","downtown","Northeast","large","Washington DC","Season_4",0.554166666666667,23
"351","Denver","downtown","Southwest","large","Denver, CO","Season_4",0.554,24
"352","Oakland","downtown","Pacific","medium","Oakland, CA","Season_3",0.552857142857143,28
"353","Raleigh","downtown","Southeast","medium","Raleigh, NC","Season_3",0.552083333333333,29
"354","Pittsburgh","downtown","Northeast","medium","Pittsburgh, PA","Season_5",0.552,29
"355","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_2",0.551818181818182,20
"356","Tucson","downtown","Southwest","medium","Tucson, AZ","Season_4",0.551666666666667,25
"357","Boston","downtown","Northeast","medium","Boston, MA","Season_10",0.5513353965458,38
"358","Halifax","downtown","Canada","medium","Halifax, NS","Season_7",0.55,42
"359","Oakland","downtown","Pacific","medium","Oakland, CA","Season_7",0.547777777777778,43
"360","Tampa","downtown","Southeast","medium","Tampa, FL","Season_1",0.547307692307692,21
"361","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_8",0.547302853229705,38
"362","Quebec","downtown","Canada","medium","Quebec, QC","Season_9",0.546696120048932,38
"363","Jacksonville","downtown","Southeast","large","Jacksonville, FL","Season_5",0.545,30
"364","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_11",0.544713640197312,43
"365","Pittsburgh","downtown","Northeast","medium","Pittsburgh, PA","Season_6",0.544545454545455,40
"366","Miami","downtown","Southeast","medium","Miami, FL","Season_1",0.5445,22
"367","St Louis","downtown","Midwest","medium","St. Louis, MO","Season_5",0.543846153846154,31
"368","Pittsburgh","downtown","Northeast","medium","Pittsburgh, PA","Season_9",0.543687750962744,39
"369","Los Angeles","downtown","Pacific","large","Los Angeles, CA","Season_2",0.542222222222222,21
"370","Cincinnati","downtown","Midwest","medium","Cincinnati, OH","Season_10",0.541596010295253,39
"371","Los Angeles","downtown","Pacific","large","Los Angeles, CA","Season_4",0.540909090909091,26
"372","New York","downtown","Northeast","large","New York, NY","Season_7",0.54,44
"373","Sacramento","downtown","Pacific","medium","Sacramento, CA","Season_1",0.539090909090909,23
"374","Boston","downtown","Northeast","medium","Boston, MA","Season_11",0.538821631229814,44
"375","Austin","downtown","Southwest","large","Austin, TX","Season_8",0.537898070477289,39
"376","Kansas City","downtown","Midwest","medium","Kansas City, MO","Season_10",0.537656527160347,40
"377","Memphis","downtown","Southeast","medium","Memphis, TN","Season_4",0.537,27
"378","Austin","downtown","Southwest","large","Austin, TX","Season_3",0.536111111111111,30
"379","Cincinnati","downtown","Midwest","medium","Cincinnati, OH","Season_9",0.535511655875268,40
"380","Raleigh","downtown","Southeast","medium","Raleigh, NC","Season_7",0.534166666666667,45
"381","Jacksonville","downtown","Southeast","large","Jacksonville, FL","Season_4",0.534,28
"382","Denver","downtown","Southwest","large","Denver, CO","Season_5",0.533333333333333,32
"383","Edmonton","downtown","Canada","large","Edmonton, AB","Season_1",0.532777777777778,24
"384","Jacksonville","downtown","Southeast","large","Jacksonville, FL","Season_1",0.5325,25
"385","Austin","downtown","Southwest","large","Austin, TX","Season_10",0.532254152603141,41
"386","St Louis","downtown","Midwest","medium","St. Louis, MO","Season_7",0.531666666666667,46
"387","Kansas City","downtown","Midwest","medium","Kansas City, MO","Season_9",0.53083686572433,41
"388","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_6",0.53,41
"389","Austin","downtown","Southwest","large","Austin, TX","Season_9",0.528918369104792,42
