"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"326","Salt Lake City","relative","Southwest","medium","Salt Lake City, UT","Season_4",0.906923076923077,31
"327","San Diego","downtown","Pacific","large","San Diego, CA","Season_10",0.905732901966707,8
"328","Mississauga","downtown","Canada","medium","Mississauga, ON","Season_6",0.905,44
"329","Honolulu","city","Pacific","medium","Honolulu, HI","Season_8",0.90463942476983,36
"330","Denver","city","Southwest","large","Denver, CO","Season_3",0.902727272727273,30
"331","Tulsa","city","Southwest","medium","Tulsa, OK","Season_7",0.902222222222222,44
"332","Tampa","relative","Southeast","medium","Tampa, FL","Season_9",0.90069012682422,43
"333","Denver","city","Southwest","large","Denver, CO","Season_8",0.900534331677818,37
"334","Austin","city","Southwest","large","Austin, TX","Season_6",0.9,45
"335","Dallas","city","Southwest","large","Dallas, TX","Season_6",0.9,46
"336","Houston","downtown","Southwest","large","Houston, TX","Season_7",0.9,45
"337","Tampa","relative","Southeast","medium","Tampa, FL","Season_6",0.9,47
"338","Calgary","city","Canada","large","Calgary, AB","Season_8",0.899879859100136,38
"339","Omaha","city","Midwest","medium","Omaha, NE","Season_2",0.898888888888889,18
"340","Winnipeg","city","Canada","large","Winnipeg, MB","Season_5",0.898888888888889,33
"341","Tucson","city","Southwest","medium","Tucson, AZ","Season_3",0.89875,31
"342","Baltimore","city","Northeast","medium","Baltimore, MD","Season_2",0.898571428571429,19
"343","Las Vegas","downtown","Southwest","medium","Las Vegas, NV","Season_5",0.898181818181818,34
"344","Kansas City","city","Midwest","medium","Kansas City, MO","Season_6",0.897777777777778,48
"345","Phoenix","city","Southwest","large","Phoenix, AZ","Season_3",0.8975,32
"346","Baltimore","city","Northeast","medium","Baltimore, MD","Season_8",0.897291237089526,39
"347","Pittsburgh","city","Northeast","medium","Pittsburgh, PA","Season_8",0.897019402498569,40
"348","Las Vegas","city","Southwest","medium","Las Vegas, NV","Season_3",0.895,33
"349","Columbus","downtown","Midwest","large","Columbus, OH","Season_13",0.894331621794566,10
"350","Columbus","city","Midwest","large","Columbus, OH","Season_4",0.893636363636364,32
"351","Tulsa","city","Southwest","medium","Tulsa, OK","Season_2",0.893636363636364,20
"352","Milwaukee","relative","Midwest","medium","Milwaukee, WI","Season_9",0.893432908382948,44
"353","El Paso","downtown","Southwest","medium","El Paso, TX","Season_10",0.892521470730432,9
"354","Omaha","relative","Midwest","medium","Omaha, NE","Season_7",0.8925,46
"355","Baltimore","city","Northeast","medium","Baltimore, MD","Season_5",0.892222222222222,35
"356","San Diego","city","Pacific","large","San Diego, CA","Season_2",0.892222222222222,21
"357","Tulsa","city","Southwest","medium","Tulsa, OK","Season_8",0.892110050112343,41
"358","Omaha","city","Midwest","medium","Omaha, NE","Season_9",0.891888790790166,45
"359","Oklahoma City","city","Southwest","medium","Oklahoma City, OK","Season_9",0.891744766889872,46
"360","San Diego","downtown","Pacific","large","San Diego, CA","Season_9",0.891254318818246,47
"361","Oklahoma City","city","Southwest","medium","Oklahoma City, OK","Season_2",0.89125,22
"362","Pittsburgh","city","Northeast","medium","Pittsburgh, PA","Season_9",0.891125058807055,48
"363","Austin","city","Southwest","large","Austin, TX","Season_5",0.891111111111111,36
"364","Las Vegas","city","Southwest","medium","Las Vegas, NV","Season_9",0.891051937887337,49
"365","Indianapolis","city","Midwest","large","Indianapolis, IN","Season_5",0.891,37
"366","Atlanta","relative","Southeast","medium","Atlanta, GA","Season_9",0.890751209813469,50
"367","Omaha","city","Midwest","medium","Omaha, NE","Season_8",0.889478144961177,42
"368","Nashville","relative","Southeast","large","Nashville, TN","Season_7",0.889230769230769,47
"369","San Diego","relative","Pacific","large","San Diego, CA","Season_7",0.888888888888889,48
"370","Calgary","city","Canada","large","Calgary, AB","Season_9",0.888832001705614,51
"371","Honolulu","city","Pacific","medium","Honolulu, HI","Season_4",0.888,33
"372","Honolulu","city","Pacific","medium","Honolulu, HI","Season_7",0.887777777777778,49
"373","Tampa","city","Southeast","medium","Tampa, FL","Season_2",0.887777777777778,23
"374","Pittsburgh","city","Northeast","medium","Pittsburgh, PA","Season_7",0.887272727272727,50
"375","Nashville","relative","Southeast","large","Nashville, TN","Season_6",0.886923076923077,49
"376","Cincinnati","city","Midwest","medium","Cincinnati, OH","Season_5",0.88625,38
"377","San Diego","relative","Pacific","large","San Diego, CA","Season_9",0.886214303590108,52
"378","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_6",0.886,50
"379","Honolulu","downtown","Pacific","medium","Honolulu, HI","Season_13",0.885758905704108,11
"380","Kansas City","city","Midwest","medium","Kansas City, MO","Season_5",0.885714285714286,39
"381","Pittsburgh","city","Northeast","medium","Pittsburgh, PA","Season_5",0.885555555555556,40
"382","Phoenix","city","Southwest","large","Phoenix, AZ","Season_9",0.885506163524152,53
"383","Houston","city","Southwest","large","Houston, TX","Season_7",0.885,51
"384","Milwaukee","city","Midwest","medium","Milwaukee, WI","Season_6",0.885,51
"385","Memphis","city","Southeast","medium","Memphis, TN","Season_6",0.884444444444444,52
"386","San Antonio","city","Southwest","large","San Antonio, TX","Season_8",0.88316963130233,43
"387","Memphis","city","Southeast","medium","Memphis, TN","Season_3",0.882777777777778,34
