"","display_title","seasonal_average","region","metric","city","Season","lq_rank","color"
"60","Ottawa, ON",0.438,"Canada","downtown","Ottawa","Season_7",56,"#ab1368"
"61","Ottawa, ON",0.414545454545455,"Canada","downtown","Ottawa","Season_6",53,"#ab1368"
"62","Ottawa, ON",0.410564116402989,"Canada","downtown","Ottawa","Season_10",57,"#ab1368"
"63","Ottawa, ON",0.384617830130465,"Canada","downtown","Ottawa","Season_8",58,"#ab1368"
"64","Ottawa, ON",0.377777777777778,"Canada","downtown","Ottawa","Season_3",51,"#ab1368"
"65","Ottawa, ON",0.359,"Canada","downtown","Ottawa","Season_4",50,"#ab1368"
"66","Ottawa, ON",0.35,"Canada","downtown","Ottawa","Season_5",53,"#ab1368"
"67","Quebec, QC",0.589683658567051,"Canada","downtown","Quebec","Season_10",32,"#ab1368"
"68","Quebec, QC",0.546696120048932,"Canada","downtown","Quebec","Season_9",34,"#ab1368"
"69","Quebec, QC",0.513133540843738,"Canada","downtown","Quebec","Season_11",44,"#ab1368"
"70","Quebec, QC",0.48540700590512,"Canada","downtown","Quebec","Season_8",38,"#ab1368"
"71","Quebec, QC",0.467,"Canada","downtown","Quebec","Season_6",42,"#ab1368"
"72","Quebec, QC",0.441,"Canada","downtown","Quebec","Season_7",54,"#ab1368"
"73","Quebec, QC",0.381363636363636,"Canada","downtown","Quebec","Season_1",47,"#ab1368"
"74","Quebec, QC",0.37,"Canada","downtown","Quebec","Season_4",49,"#ab1368"
"75","Quebec, QC",0.367272727272727,"Canada","downtown","Quebec","Season_2",44,"#ab1368"
"76","Quebec, QC",0.345833333333333,"Canada","downtown","Quebec","Season_3",56,"#ab1368"
"77","Quebec, QC",0.317777777777778,"Canada","downtown","Quebec","Season_5",56,"#ab1368"
"78","Toronto, ON",0.52656721621531,"Canada","downtown","Toronto","Season_11",41,"#ab1368"
"79","Toronto, ON",0.462039313531831,"Canada","downtown","Toronto","Season_9",52,"#ab1368"
"80","Toronto, ON",0.444804119884358,"Canada","downtown","Toronto","Season_10",50,"#ab1368"
"81","Toronto, ON",0.404,"Canada","downtown","Toronto","Season_7",59,"#ab1368"
"82","Toronto, ON",0.392222222222222,"Canada","downtown","Toronto","Season_1",46,"#ab1368"
"83","Toronto, ON",0.363181818181818,"Canada","downtown","Toronto","Season_3",54,"#ab1368"
"84","Toronto, ON",0.340489206258399,"Canada","downtown","Toronto","Season_8",60,"#ab1368"
"85","Toronto, ON",0.334,"Canada","downtown","Toronto","Season_6",60,"#ab1368"
"86","Toronto, ON",0.328,"Canada","downtown","Toronto","Season_2",51,"#ab1368"
