"","week","metric","display_title","rolling_avg","city","region"
"66",2020-05-11,"relative","Oklahoma City, OK",0.604545454545455,"Oklahoma City","Midwest"
"67",2020-05-11,"downtown","Omaha, NE",0.61,"Omaha","Midwest"
"68",2020-05-11,"city","Omaha, NE",0.801818181818182,"Omaha","Midwest"
"69",2020-05-11,"relative","Omaha, NE",0.735,"Omaha","Midwest"
"70",2020-05-11,"downtown","St. Louis, MO",0.314545454545455,"St Louis","Midwest"
"71",2020-05-11,"city","St. Louis, MO",0.626363636363636,"St Louis","Midwest"
"72",2020-05-11,"relative","St. Louis, MO",0.498181818181818,"St Louis","Midwest"
"73",2020-05-11,"downtown","Wichita, KS",0.590909090909091,"Wichita","Midwest"
"74",2020-05-11,"city","Wichita, KS",0.843181818181818,"Wichita","Midwest"
"75",2020-05-11,"relative","Wichita, KS",0.687272727272727,"Wichita","Midwest"
"76",2020-05-11,"downtown","Baltimore, MD",0.545,"Baltimore","Northeast"
"77",2020-05-11,"city","Baltimore, MD",0.876818181818182,"Baltimore","Northeast"
"78",2020-05-11,"relative","Baltimore, MD",0.613636363636364,"Baltimore","Northeast"
"79",2020-05-11,"downtown","Boston, MA",0.300909090909091,"Boston","Northeast"
"80",2020-05-11,"city","Boston, MA",0.625909090909091,"Boston","Northeast"
"81",2020-05-11,"relative","Boston, MA",0.415909090909091,"Boston","Northeast"
"82",2020-05-11,"downtown","New York, NY",0.311818181818182,"New York","Northeast"
"83",2020-05-11,"city","New York, NY",0.747272727272727,"New York","Northeast"
"84",2020-05-11,"relative","New York, NY",0.380909090909091,"New York","Northeast"
"85",2020-05-11,"downtown","Philadelphia, PA",0.389090909090909,"Philadelphia","Northeast"
"86",2020-05-11,"city","Philadelphia, PA",0.719545454545455,"Philadelphia","Northeast"
"87",2020-05-11,"relative","Philadelphia, PA",0.506363636363636,"Philadelphia","Northeast"
"88",2020-05-11,"downtown","Pittsburgh, PA",0.402727272727273,"Pittsburgh","Northeast"
"89",2020-05-11,"city","Pittsburgh, PA",0.725454545454545,"Pittsburgh","Northeast"
"90",2020-05-11,"relative","Pittsburgh, PA",0.529545454545455,"Pittsburgh","Northeast"
"91",2020-05-11,"downtown","Washington DC",0.660909090909091,"Washington DC","Northeast"
"92",2020-05-11,"city","Washington DC",1.07045454545455,"Washington DC","Northeast"
"93",2020-05-11,"relative","Washington DC",0.619545454545455,"Washington DC","Northeast"
"94",2020-05-11,"downtown","Bakersfield, CA",0.870909090909091,"Bakersfield","Pacific"
