"","X","week","metric","display_title","rolling_avg","city","region","color"
"53",2025,2020-04-06,"downtown","Denver, CO",0.430454545454545,"Denver","Southwest","#e6ab02"
"54",2029,2020-04-06,"downtown","El Paso, TX",0.680909090909091,"El Paso","Southwest","#e6ab02"
"55",2019,2020-04-06,"downtown","Fort Worth, TX",0.497272727272727,"Fort Worth","Southwest","#e6ab02"
"56",2002,2020-04-06,"downtown","Houston, TX",0.413181818181818,"Houston","Southwest","#e6ab02"
"57",1991,2020-04-06,"downtown","Las Vegas, NV",0.537727272727273,"Las Vegas","Southwest","#e6ab02"
"58",2003,2020-04-06,"downtown","Phoenix, AZ",0.607727272727273,"Phoenix","Southwest","#e6ab02"
"59",2034,2020-04-06,"downtown","Salt Lake City, UT",0.504090909090909,"Salt Lake City","Southwest","#e6ab02"
"60",2005,2020-04-06,"downtown","San Antonio, TX",0.331363636363636,"San Antonio","Southwest","#e6ab02"
"61",1998,2020-04-06,"downtown","Tucson, AZ",0.57,"Tucson","Southwest","#e6ab02"
"62",2009,2020-04-06,"downtown","Tulsa, OK",0.462272727272727,"Tulsa","Southwest","#e6ab02"
"63",2047,2020-04-13,"downtown","Calgary, AB",0.373636363636364,"Calgary","Canada","#ab1368"
"64",2049,2020-04-13,"downtown","Edmonton, AB",0.479545454545454,"Edmonton","Canada","#ab1368"
"65",2054,2020-04-13,"downtown","Halifax, NS",0.404545454545454,"Halifax","Canada","#ab1368"
"66",2055,2020-04-13,"downtown","London, ON",0.332727272727273,"London","Canada","#ab1368"
"67",2104,2020-04-13,"downtown","Montreal, QC",0.296818181818182,"Montreal","Canada","#ab1368"
"68",2048,2020-04-13,"downtown","Ottawa, ON",0.39,"Ottawa","Canada","#ab1368"
"69",2053,2020-04-13,"downtown","Quebec, QC",0.330454545454546,"Quebec","Canada","#ab1368"
"70",2103,2020-04-13,"downtown","Toronto, ON",0.325454545454545,"Toronto","Canada","#ab1368"
"71",2052,2020-04-13,"downtown","Vancouver, BC",0.343636363636364,"Vancouver","Canada","#ab1368"
"72",2051,2020-04-13,"downtown","Winnipeg, MB",0.545909090909091,"Winnipeg","Canada","#ab1368"
"73",2067,2020-04-13,"downtown","Chicago, IL",0.233636363636364,"Chicago","Midwest","#007fa3"
"74",2098,2020-04-13,"downtown","Cincinnati, OH",0.333636363636364,"Cincinnati","Midwest","#007fa3"
"75",2080,2020-04-13,"downtown","Cleveland, OH",0.360909090909091,"Cleveland","Midwest","#007fa3"
"76",2086,2020-04-13,"downtown","Columbus, OH",0.350454545454545,"Columbus","Midwest","#007fa3"
"77",2058,2020-04-13,"downtown","Detroit, MI",0.218636363636364,"Detroit","Midwest","#007fa3"
"78",2087,2020-04-13,"downtown","Indianapolis, IN",0.318181818181818,"Indianapolis","Midwest","#007fa3"
"79",2107,2020-04-13,"downtown","Kansas City, MO",0.926363636363636,"Kansas City","Midwest","#007fa3"
"80",2060,2020-04-13,"downtown","Louisville, KY",0.578636363636364,"Louisville","Midwest","#007fa3"
"81",2062,2020-04-13,"downtown","Milwaukee, WI",0.494545454545455,"Milwaukee","Midwest","#007fa3"
"82",2074,2020-04-13,"downtown","Minneapolis, MN",0.337727272727273,"Minneapolis","Midwest","#007fa3"
"83",2109,2020-04-13,"downtown","Omaha, NE",0.529090909090909,"Omaha","Midwest","#007fa3"
"84",2101,2020-04-13,"downtown","St. Louis, MO",0.290909090909091,"St Louis","Midwest","#007fa3"
"85",2077,2020-04-13,"downtown","Wichita, KS",0.536363636363636,"Wichita","Midwest","#007fa3"
"86",2061,2020-04-13,"downtown","Baltimore, MD",0.500454545454545,"Baltimore","Northeast","#8dbf2e"
"87",2096,2020-04-13,"downtown","Boston, MA",0.228181818181818,"Boston","Northeast","#8dbf2e"
