"","city","display_title","Season","seasonal_average","metric","region","total_pop_city","population_density_city","housing_units_city","housing_density_city","pct_renter_city","pct_singlefam_city","pct_multifam_city","median_age_city","bachelor_plus_city","pct_vacant_city","median_rent_city","median_hhinc_city","total_pop_downtown","population_density_downtown","housing_units_downtown","housing_density_downtown","pct_renter_downtown","pct_singlefam_downtown","pct_multifam_downtown","median_age_downtown","bachelor_plus_downtown","pct_vacant_downtown","median_rent_downtown","median_hhinc_downtown","pct_nhwhite_downtown","pct_nhblack_downtown","pct_hisp_downtown","pct_nhasian_downtown","pct_nhwhite_city","pct_nhblack_city","pct_hisp_city","pct_nhasian_city","pct_commute_auto_city","pct_commute_public_transit_city","pct_commute_bicycle_city","pct_commute_walk_city","average_commute_time_city","employment_density_downtown","employment_entropy","pct_jobs_agriculture_forestry_fishing_hunting","pct_jobs_mining_quarrying_oil_gas","pct_jobs_utilities","pct_jobs_construction","pct_jobs_manufacturing","pct_jobs_wholesale_trade","pct_jobs_retail_trade","pct_jobs_transport_warehouse","pct_jobs_information","pct_jobs_finance_insurance","pct_jobs_real_estate","pct_jobs_professional_science_techical","pct_jobs_management_of_companies_enterprises","pct_jobs_administrative_support_waste","pct_jobs_educational_services","pct_jobs_healthcare_social_assistance","pct_jobs_arts_entertainment_recreation","pct_jobs_accomodation_food_services","pct_jobs_public_administration","days_school_closing","days_workplace_closing","days_cancel_large_events","days_cancel_all_events","days_stay_home_requirements","days_income_support","days_mask_mandates"
"1039","Austin","Austin, TX","Season_10",0.532254152603141,"downtown","Southwest",1586610,0.000539085433015927,635501,2.74875435872637e-06,45.334809433436,59.6338951472932,37.1939619292495,35.4685185185185,48.8471501140253,7.46891035576655,1396.05555555556,85172.0925925926,10848,0.00257175024341303,8090,2.74875435872637e-06,66.7396403440188,2.06427688504326,97.6885043263288,35.1,77.9800291241939,20.9517923362176,2262,122182,75.8757374631269,3.39233038348083,12.8502949852507,6.10250737463127,50.2511644323432,7.35498956895519,12.8502949852507,7.0689709506432,84.4759229720045,2.48641838315186,0.875927595533671,1.83484753912662,26.1761575509279,0.0448565113667425,2.40772282673875,0.0110987204760823,0.382113090676546,1.39315367499775,2.26096791412761,1.41905068944195,1.30224986919365,3.76827985687936,0.397439895143517,5.42093218681789,2.60661378038275,2.03952201510483,12.8697591577657,0.721416830945347,3.67367647758323,21.853380617406,5.54248960155593,2.11774156893627,9.18762651220067,19.840812637743,482,340,353,408,62,728,679
"1042","St Louis","St. Louis, MO","Season_7",0.531666666666667,"downtown","Midwest",645424,0.00120085613430414,337594,5.05702758657668e-06,48.7327205207495,58.3156098745831,41.0030983962985,34.9484848484848,33.746685575491,16.0873712210525,819.969696969697,45233.5757575758,3725,0.00380873114550273,2718,5.05702758657668e-06,80,5.00367917586461,94.9963208241354,31.8,60.8221171335031,13.1714495952907,1050,65129,37.6644295302013,52.3221476510067,1.61073825503356,6.41610738255034,50.1103150796995,40.7432943305486,1.61073825503356,2.85021939066412,83.5054245448682,6.83128675695868,0.606948781313257,3.65957229427278,24.3051260753684,0.054733255897654,2.48282644719217,0.706146086306744,0,1.14328413973473,0.651970857463105,1.47767606949374,1.79525499719783,0.814496543994022,1.40295161591631,8.14309732860078,11.8587707827387,1.13020736035868,21.6364655333458,3.3420511862507,8.4774892583598,2.6433775453017,3.52325798617598,5.68092658322436,12.0567905847188,10.9079021109658,308,70,345,395,239,421,656
"1045","Kansas City","Kansas City, MO","Season_9",0.53083686572433,"downtown","Midwest",962812,0.000404043640852635,436493,3.76131908717608e-06,39.311411163161,73.2256874680694,25.6230913210521,35.5486842105263,36.0297024884882,10.2088693289469,865.907894736842,60140.4868421053,14801,0.00249025082197962,8963,3.76131908717608e-06,85.5639097744361,7.76525716835881,91.9669753430771,29.4,49.0084713130535,10.9673100524378,1002,46368,51.5100331058712,32.3559218971691,7.93189649348017,5.87122491723532,66.7572693319153,18.5390294263054,7.93189649348017,2.26762857130987,90.6224460744051,1.49994162455783,0.134365930043689,1.59231820146287,22.5579139317521,0.0153301597118773,2.69773191788062,0.0647526230299837,0.0713376355415075,1.50687036305369,6.2886869485052,12.2733658193951,8.68672900478511,1.93489617630274,9.79849861714737,3.20690109311208,7.29399885859783,2.3673119978928,13.1645375126213,4.79498661047456,7.92725756178937,1.41029017955134,3.03130075947144,3.01044821985162,5.32069010931121,5.68396329953027,308,70,345,395,239,421,656
"1048","Charlotte","Charlotte, NC","Season_6",0.53,"downtown","Southeast",1279046,0.00063744127265789,515774,4.5047884623029e-06,39.8405657613926,69.263281980092,28.7852819258047,35.6878787878788,45.1635450175384,7.33538332680593,1187.24242424242,76392.3636363636,13498,0.00285395199829499,9039,4.5047884623029e-06,68.641499035547,11.0299811926098,88.538555149906,30.7,73.5589743589744,19.7035070251134,1511,92786,59.6088309379167,24.5221514298415,6.68247147725589,3.90428211586902,50.7573613458781,28.0462156951353,6.68247147725589,5.93880126281619,86.3349059456844,2.59753220831065,0.110838928204198,1.6235710397387,26.8924763057566,0.0267778421010567,2.36662150564866,0.00315836017939486,0,0.0410586823321332,2.29849662055461,0.777746194175984,1.0454172193797,1.44652896216285,0.622196955340787,2.8267323605584,19.9742593645379,2.65144337060198,15.2990967089887,12.7076621817952,13.3464405280778,1.65577032404775,2.16821426315457,3.39286842271493,6.30487650811699,11.7206746257343,422,374,69,422,155,688,657
"1051","Austin","Austin, TX","Season_9",0.528918369104792,"downtown","Southwest",1586610,0.000539085433015927,635501,2.74875435872637e-06,45.334809433436,59.6338951472932,37.1939619292495,35.4685185185185,48.8471501140253,7.46891035576655,1396.05555555556,85172.0925925926,10848,0.00257175024341303,8090,2.74875435872637e-06,66.7396403440188,2.06427688504326,97.6885043263288,35.1,77.9800291241939,20.9517923362176,2262,122182,75.8757374631269,3.39233038348083,12.8502949852507,6.10250737463127,50.2511644323432,7.35498956895519,12.8502949852507,7.0689709506432,84.4759229720045,2.48641838315186,0.875927595533671,1.83484753912662,26.1761575509279,0.0448565113667425,2.40772282673875,0.0110987204760823,0.382113090676546,1.39315367499775,2.26096791412761,1.41905068944195,1.30224986919365,3.76827985687936,0.397439895143517,5.42093218681789,2.60661378038275,2.03952201510483,12.8697591577657,0.721416830945347,3.67367647758323,21.853380617406,5.54248960155593,2.11774156893627,9.18762651220067,19.840812637743,482,340,353,408,62,728,679
"1054","San Antonio","San Antonio, TX","Season_3",0.528636363636364,"downtown","Southwest",1962300,0.000588061609066977,697716,4.89976420947107e-07,41.1211071151387,68.4563633340786,28.8283484970962,34.6173913043478,28.3734236477737,8.21953344913976,1081.72463768116,62617.3623188406,1441,0.000466889105899262,1635,4.89976420947107e-07,84.4714686623012,7.46177370030581,92.5382262996942,53.3,48.0240549828179,34.6177370030581,741,36094,45.0381679389313,2.84524635669674,48.2997918112422,0.485773768216516,28.0510115680579,7.08775416602966,48.2997918112422,2.7459104112521,90.0089958824436,2.40637122716735,0.16450550519586,1.78103169545604,25.5113729190968,0.0250616740744677,2.49978699788345,0.0180995475113122,0.0284421460892049,4.36716224951519,1.65223012281836,1.10795087265675,1.06787330316742,2.48739495798319,0.877828054298643,3.46347769877182,3.68455074337427,1.5229476405947,6.54298642533937,5.10019392372334,6.35294117647059,16.3710407239819,16.5778926955398,1.21266968325792,15.9961215255333,8.93471234647705,482,340,353,408,62,728,679
"1057","New York","New York, NY","Season_8",0.528358917430783,"downtown","Northeast",8977986,0.00947893378273756,3703818,5.22260714704719e-05,65.9065947547097,17.7288408879702,82.0817329577209,35.6538461538462,38.1931551254977,9.21678656996645,1484.61085972851,73598.3393665158,68267,0.0140641462026785,49466,5.22260714704719e-05,79.6755990789241,1.73250313346541,98.2210002830227,35.3333333333333,78.7943739814356,20.1087615736061,2980.33333333333,151299.833333333,58.4176835074047,4.35202953110581,13.7548156503142,20.523825567258,32.339324209238,21.6661509608057,13.7548156503142,14.0278343049321,29.2578773260761,53.9152885494511,1.19668918030952,9.58169480734884,41.1074716135563,0.239818342661086,2.47931511686893,0.00902006061480733,0.0014603907662069,0.0163220144458418,1.74886089520236,0.913259660914445,4.81361977609632,4.24801902287831,1.14700808884674,8.72497577469435,19.3036169584012,3.17102378547031,18.094928836017,3.27316523376561,11.1050691022548,1.57928375564398,6.18501261090379,2.088874227711,7.29327739177645,2.93315190125697,529,358,308,458,78,549,710
"1060","Toronto","Toronto, ON","Season_11",0.52656721621531,"downtown","Canada",2808905,8.4340626748942e-09,1137010,3.41400424791207e-09,46.6565523306948,37.0713538139506,62.9136946904601,41.1275624004249,36.2361498414853,5.60409689454397,595.850539202318,64294.2836076927,269794,2.41114075257329e-08,152285,1.3609664021647e-08,64.1352840834536,6.44843549922842,93.5252979610598,39.45,57.3093985350253,10.9790136288787,1029.83741001944,50162.9271377395,53.6731376111696,5.72630773644449,0.0688533996366071,37.7125370565172,47.4605736094822,5.39473375101423,0.0766210133129011,40.6275694694176,51.2809049914477,36.5122064997668,2.66871404136215,8.43375835795366,36.3066432669434,1.53894615000008e-09,2.48357310271825,0.0696864111498258,0.789779326364692,0.21486643437863,1.78861788617886,1.73635307781649,2.86875725900116,9.8664343786295,0.78397212543554,4.4541231126597,8.94308943089431,5.69105691056911,24.5470383275261,1.86991869918699,4.66318234610918,1.73635307781649,9.68641114982578,2.34610917537747,9.44831591173055,0.522648083623693,529,496,365,718,127,802,772
"1063","Columbus","Columbus, OH","Season_5",0.526,"downtown","Midwest",1511488,0.000692912271183578,634296,4.91987663437762e-06,42.8135900370613,65.5722249549106,33.3494141536444,35.08,41.5415106454984,7.43501456733134,980,66619.44,15291,0.00115490273620786,10732,4.91987663437762e-06,81.915994206497,9.98881848676854,89.8248229593738,30.7,73.7057757465921,9.93291092061126,1215,66000,76.0316526061082,11.9220456477667,3.5445687005428,4.72827153227389,65.3933077867638,20.2931812889021,3.5445687005428,5.39336071473938,89.0419034228331,2.07304881745535,0.424000464375318,2.34148355014931,22.667839570679,0.0110863411962288,2.58703334403634,0,0.00204381948986266,1.42726727708742,3.65639306736429,1.85306300414214,1.58600392413342,1.75359712230216,1.59758556790931,3.72315783736647,10.7409526923915,2.46007739263135,10.7171081316765,4.78117505995204,5.38955199476782,5.83987355570089,17.9168029212993,1.9102899498583,7.12611728798779,13.829163941574,443,190,158,447,142,644,720
"1066","Boston","Boston, MA","Season_9",0.523475111687101,"downtown","Northeast",1241758,0.00338581579857417,521637,1.1539102191865e-05,58.3845183352977,24.99496776494,74.8052764662016,34.2862745098039,52.9760430960474,7.61544905748634,1801.50980392157,90705.0196078431,6504,0.00708425735111514,4232,1.1539102191865e-05,55.4943373125191,2.36294896030246,97.2589792060491,44.2,76.3181411974978,22.8024574669187,2967,153021,82.8105781057811,3.24415744157442,2.8290282902829,9.27121771217712,52.5868164328315,15.3728826389683,2.8290282902829,10.2533665980006,49.3115268077539,28.7740263690497,2.80902326887306,13.173557247979,31.0583706230438,0.248208240568483,2.32373785510284,0.000438831304469936,0.000877662608939871,0.0469549495782831,1.82729355181281,0.667462414098772,1.65702700567848,2.00721438664549,0.795162323699523,4.88901956309955,19.9742844855581,2.90199141645968,25.1489832278675,1.9370013779303,9.42039161305611,1.84704096051396,4.1789905124672,1.60261192392421,8.07844548398705,10.1102344236828,424,426,214,442,0,721,744
"1069","Detroit","Detroit, MI","Season_10",0.523043013653233,"downtown","Midwest",1179021,0.00178608681333173,575227,7.75169078737227e-06,46.2778308674114,75.4229199950628,23.8551041588799,35.7020408163265,19.7542006073667,20.8651541043797,885.326530612245,39528.2448979592,7150,0.00225408912258556,5117,7.75169078737227e-06,87.4706710464571,2.93140512018761,97.0685948798124,32.2,53.6157024793388,16.7090091850694,1380,64509,46.027972027972,36.4195804195804,5.16083916083916,9.69230769230769,31.4857835441438,56.6867765714097,5.16083916083916,2.51522237517398,87.0871903650387,4.30360423526488,0.553593141213955,2.66013153106778,25.0832418798532,0.0299298899468571,2.53973029854734,0,0,4.54085824432788,1.52731256188249,2.67753691883124,1.93810697507847,1.52941919989888,2.1361309486191,2.7059765320525,17.4787756219849,0.795255851187091,11.1356885546357,8.19376856474752,5.87014683266974,1.77273589079189,4.20695611873012,3.92993321957488,12.3059259727401,15.0382354799975,477,362,167,466,58,539,642
"1072","Tulsa","Tulsa, OK","Season_4",0.523,"downtown","Southwest",670092,0.000288418927311717,292273,1.49096417239392e-06,40.0371734416411,71.4934325100163,25.2818426608,36.0702702702703,31.4381664464037,10.5367242270069,867,53089.2972972973,5264,0.00149826634872149,3464,1.49096417239392e-06,77.8466305189775,15.473441108545,84.0069284064665,38.3,35.5616189176899,25.4618937644342,1177.5,66095,66.2234042553192,13.1648936170213,7.54179331306991,2.69756838905775,61.3803776197895,10.2597852235215,7.54179331306991,3.28566823660035,92.0782027975086,0.583491075835098,0.211781022171411,1.37189122326967,19.9082773539051,0.0110280828167863,2.66356483888964,0.0593609662932948,6.66133278273886,8.49636091467506,2.85706911681206,2.09053837815516,2.43121870644712,1.77308625406494,2.62478707479482,5.86383110514634,9.1493315439013,1.71372528777164,15.7074278635214,1.13302018272854,4.60950807825324,0.707169772363599,9.09255148918598,1.91761730243122,7.54142363082641,12.460641098436,476,55,237,108,38,603,685
"1075","Austin","Austin, TX","Season_5",0.522857142857143,"downtown","Southwest",1586610,0.000539085433015927,635501,2.74875435872637e-06,45.334809433436,59.6338951472932,37.1939619292495,35.4685185185185,48.8471501140253,7.46891035576655,1396.05555555556,85172.0925925926,10848,0.00257175024341303,8090,2.74875435872637e-06,66.7396403440188,2.06427688504326,97.6885043263288,35.1,77.9800291241939,20.9517923362176,2262,122182,75.8757374631269,3.39233038348083,12.8502949852507,6.10250737463127,50.2511644323432,7.35498956895519,12.8502949852507,7.0689709506432,84.4759229720045,2.48641838315186,0.875927595533671,1.83484753912662,26.1761575509279,0.0448565113667425,2.40772282673875,0.0110987204760823,0.382113090676546,1.39315367499775,2.26096791412761,1.41905068944195,1.30224986919365,3.76827985687936,0.397439895143517,5.42093218681789,2.60661378038275,2.03952201510483,12.8697591577657,0.721416830945347,3.67367647758323,21.853380617406,5.54248960155593,2.11774156893627,9.18762651220067,19.840812637743,482,340,353,408,62,728,679
"1078","Edmonton","Edmonton, AB","Season_11",0.521293617933357,"downtown","Canada",962626,1.4640462178396e-09,371240,5.64614417136844e-10,35.157857921145,66.6886650145458,32.5813489925655,38.8955248169243,27.0460101669922,6.96738129554008,673.71663873698,70017.3853893107,71004,7.37527146191554e-09,39225,4.07434824930478e-09,68.1633172220809,13.2058636073932,86.8833652007648,40.6564814814815,35.8633005925806,13.1044102019129,846.859244900435,47507.7058862593,58.6191470325082,10.199821055771,0.0745600954369222,22.3531166119893,56.4502270123478,5.90338184749862,0.0668307378962108,28.5239954173208,79.2010660781027,14.2171509479142,1.18892694658157,4.01757363122443,29.2803460085149,5.21017994098478e-10,2.51196311683495,0.199362041467305,0.398724082934609,0.139553429027113,4.66507177033493,1.85406698564593,2.19298245614035,10.2870813397129,1.55502392344498,1.39553429027113,4.88437001594896,5.42264752791069,20.2352472089314,1.01674641148325,4.62519936204147,1.19617224880383,13.0582137161085,1.19617224880383,9.82854864433812,5.16347687400319,192,602,277,642,0,667,786
