,city,week,metric,normalized_visits_by_total_visits
118,Albuquerque,2020-11-23,relative,0.61
119,Albuquerque,2020-11-23,metro,0.9
120,Albuquerque,2020-11-30,downtown,0.77
121,Albuquerque,2020-11-30,relative,0.83
122,Albuquerque,2020-11-30,metro,0.92
123,Albuquerque,2020-12-07,downtown,0.64
124,Albuquerque,2020-12-07,relative,0.65
125,Albuquerque,2020-12-07,metro,0.99
126,Albuquerque,2020-12-14,downtown,0.64
127,Albuquerque,2020-12-14,relative,0.65
128,Albuquerque,2020-12-14,metro,0.98
129,Albuquerque,2020-12-21,downtown,0.58
130,Albuquerque,2020-12-21,relative,0.64
131,Albuquerque,2020-12-21,metro,0.9
132,Albuquerque,2020-12-28,relative,0.77
133,Albuquerque,2020-12-28,downtown,0.72
134,Albuquerque,2020-12-28,metro,0.94
135,Albuquerque,2021-01-04,relative,0.84
136,Albuquerque,2021-01-04,downtown,0.8
137,Albuquerque,2021-01-04,metro,0.95
138,Albuquerque,2021-01-11,relative,0.66
139,Albuquerque,2021-01-11,downtown,0.69
140,Albuquerque,2021-01-11,metro,1.05
141,Albuquerque,2021-01-18,relative,0.58
142,Albuquerque,2021-01-18,downtown,0.59
143,Albuquerque,2021-01-18,metro,1.02
144,Albuquerque,2021-01-25,relative,0.76
145,Albuquerque,2021-01-25,downtown,0.71
146,Albuquerque,2021-01-25,metro,0.94
147,Albuquerque,2021-02-01,relative,0.7
148,Albuquerque,2021-02-01,downtown,0.67
149,Albuquerque,2021-02-01,metro,0.96
150,Albuquerque,2021-02-08,relative,0.65
151,Albuquerque,2021-02-08,downtown,0.68
152,Albuquerque,2021-02-08,metro,1.04
153,Albuquerque,2021-02-15,relative,0.63
154,Albuquerque,2021-02-15,downtown,0.66
155,Albuquerque,2021-02-15,metro,1.04
156,Albuquerque,2021-02-22,relative,0.74
157,Albuquerque,2021-02-22,downtown,0.74
158,Albuquerque,2021-02-22,metro,1.0
159,Albuquerque,2021-03-01,relative,0.73
